Endpoint,HTTP Method,Controller,Action/Method,Domain/Feature,Description,Authentication,Authorization,Criticality,Criticality Reason,Domain Event,Audit Required,Log Required,Important Log Fields,Sensitive Data,Metrics Required,Recommended Metrics,Trace Required,Dependencies,Existing Observability,Observability Gap,Priority,Migration Status,Notes
api/guarantee-applications,POST,GuaranteeApplicationController,createGuaranteeApplication,ECGF / Guarantee Applications,"Creates or updates guarantee application for PFI. Validates PFI TIN from profile service (not request body). Validates product in bundle mapping. Checks duplicate active applications. Calculates guaranteeFee based on PFI cluster rates. Creates collateral records. Generates applicationNumber (GOA0001 format). If forApdate=1, updates existing Draft/Need_More_Info application.",Yes — AccessGuard (class-level),JWT + RBAC via Access Management Service,Critical,"Core ECGF workflow entry point — PFIs submit guarantee coverage applications for borrowers. Failure prevents new guarantee issuance. Complex validation chain (PFI identity, product eligibility, duplicate checks, fee calculation). Financial data (loan amounts, coverage rates) must be accurate.",ecgf.guarantee_application_created,Yes,Yes,"application_number, institution_name, product_id, loan_amount, coverage_rate, channel, customer_type, created_by, trace_id, span_id","nationalIdentificationNumber (16-digit NID), TINNumber, customerPhoneNumber, customerEmail, annualTurnover, loanAmount, coverageRate",Yes,"ecgf_guarantee_application_total{operation=create, channel, cluster}, ecgf_guarantee_application_duration_seconds",Yes,"DB: Guarantee.Applications (create/update), Guarantee.Collaterals (bulk create). HTTP: Profile Service (representative lookup), Product Service (bundle/product validation). HTTP: Access Management Service (guard).","LoggerService via Kafka logging.info. @Trace(), @Span() decorators.","No custom Prometheus metrics. No domain event (only Kafka logging). Logging exists but Winston-based, not SDK structured. No fee calculation audit trail.",P0,Not Started,"Security: TIN validated from JWT via Profile Service, not from request body (good pattern). Customer-facing: Yes (PFI users)."
api/guarantee-applications/:id/upload-files,PUT,GuaranteeApplicationController,uploadGuaranteeApplicationFiles,ECGF / Guarantee Applications,"Uploads supporting documents for guarantee application. Uses FileFieldsInterceptor with configured multer file fields. Validates application ownership. Uploads to file server, creates GuaranteeApplicationDocuments records.",Yes — AccessGuard (class-level),JWT + RBAC,High,Document upload is required before application submission. File server failure blocks the application process. Document integrity is important for compliance review.,No — file upload operation,No,Yes,"application_id, document_count, file_types[], file_sizes[], trace_id",JWT token. Document contents may contain sensitive business/financial information.,Yes,"ecgf_document_upload_duration_seconds{domain=guarantee_application}, ecgf_document_upload_total{status=success|failure}",Yes,DB: Guarantee.ApplicationDocuments (create). HTTP: File Management Service (upload). HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No file upload metrics. No file server latency tracking. No document validation logging.,P1,Not Started,Customer-facing: Yes (PFI users).
api/guarantee-applications/submit,POST,GuaranteeApplicationController,submitGuaranteeApplication,ECGF / Guarantee Applications,"Validates required documents uploaded. Changes status Draft -> Submitted. Starts GUARANTEE workflow (namespace=guarantee, entityType=APPLICATION). Records submittedAt timestamp.",Yes — AccessGuard (class-level),JWT + RBAC,Critical,Submission triggers the multi-step approval workflow. Failure prevents guarantee applications from entering review. Workflow start failure leaves application in limbo state. This is a key state transition in the ECGF lifecycle.,ecgf.guarantee_application_submitted,Yes,Yes,"application_id, application_number, institution_name, submitted_by, workflow_instance_id, trace_id",JWT token.,Yes,"ecgf_guarantee_application_submitted_total, ecgf_workflow_start_duration_seconds{namespace=guarantee, entity_type=APPLICATION}",Yes,DB: Guarantee.Applications (status update). HTTP: Workflow Service (start instance). Outbox: ProcurementPlanItemSubmitted event.,LoggerService via Kafka logging.info.,No submission metrics. No workflow start success/failure tracking. Outbox event uses reused topic name (ProcurementPlanItemSubmitted) — potential confusion.,P0,Not Started,"Customer-facing: Yes. Workflow namespace=guarantee, entityType=APPLICATION."
api/guarantee-applications/all,POST,GuaranteeApplicationController,getAllGuaranteeApplications,ECGF / Guarantee Applications,"Paginated list with filters (status, search, dates, productName). Search across customerName, applicationNumber, TINNumber, institutionName. Includes collaterals and documents.",Yes — AccessGuard (class-level),JWT + RBAC,Medium,Admin/CGF listing view. Read-only. Failure degrades management capability but doesn't block operations.,No — read-only listing,No,Yes,"page, limit, status_filter, search_term, result_count, trace_id","JWT token. Response contains customerName, TINNumber, NID in search results.",No,,Yes,DB: Guarantee.Applications (findAndCountAll with includes). HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No custom metrics. Standard logging adequate.,P2,Not Started,Customer-facing: Yes (admin/CGF view).
api/guarantee-applications/:id,GET,GuaranteeApplicationController,getGuaranteeApplicationById,ECGF / Guarantee Applications,"Returns single application with documents, collaterals, financial institution, products. Access control by role.",Yes — AccessGuard (class-level),JWT + RBAC,High,Detail view used during approval workflow review. Failure blocks reviewers from seeing application details.,No — read-only,No,Yes,"application_id, result_found, trace_id","JWT token. Response contains NID, TIN, phone, email, financial data.",No,,Yes,"DB: Guarantee.Applications with documents, collaterals, institution includes. HTTP: Access Management Service (guard).",LoggerService via Kafka logging.info.,No custom metrics.,P2,Not Started,Customer-facing: Yes.
api/guarantee-applications/our-applications,POST,GuaranteeApplicationController,getInstitutionGuaranteeApplications,ECGF / Guarantee Applications,Returns applications belonging to current user's PFI. Identifies PFI via Profile Service representative endpoint using JWT TIN.,Yes — AccessGuard (class-level),JWT + RBAC,High,PFI users need to see their own applications to track status and respond to information requests. Profile Service dependency for PFI identification.,No — read-only,No,Yes,"institution_name, result_count, trace_id",JWT token. TIN used for PFI identification.,No,,Yes,DB: Guarantee.Applications. HTTP: Profile Service (representative lookup). HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No custom metrics. Profile Service dependency invisible.,P2,Not Started,Customer-facing: Yes (PFI users).
api/guarantee-applications/:id/products,GET,GuaranteeApplicationController,getGuaranteeApplicationProducts,ECGF / Guarantee Applications,Returns products associated with a guarantee application's financial institution.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Read-only product listing. Auxiliary data.,No — read-only,No,Yes,"application_id, trace_id",JWT token.,No,,No,DB: Application.FinancialInstitutionProducts. HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No gaps for its purpose.,P3,Not Started,
api/guarantee-applications/our-products,POST,GuaranteeApplicationController,getInstitutionGuaranteeApplicationProducts,ECGF / Guarantee Applications,Returns unique products across all guarantee applications for current user's PFI.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Read-only product aggregation. Auxiliary data.,No — read-only,No,Yes,trace_id,JWT token.,No,,No,DB: Application.FinancialInstitutionProducts. HTTP: Profile Service. HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No gaps for its purpose.,P3,Not Started,
api/guarantee-applications/summary,POST,GuaranteeApplicationController,getGuaranteeApplicationSummary,ECGF / Guarantee Applications,Aggregates application counts by status. Supports PFI-scoped or all-applications view.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Dashboard data for management. Failure degrades visibility but doesn't block operations.,No — read-only aggregation,No,Yes,"scope (pfi|all), counts_by_status, trace_id",JWT token.,No,,Yes,DB: Guarantee.Applications (GROUP BY status). HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No custom metrics.,P3,Not Started,Customer-facing: Yes (dashboard).
api/guarantee-applications/:applicationId/comments,POST,GuaranteeApplicationController,addApplicationComment,ECGF / Guarantee Applications,"Adds comment to guarantee application. Creates GuaranteeApplicationComment record with actor, action (APPROVE/REJECT/REQUEST_INFO/REPLY), responsibleRole. Supports threaded replies via parentCommentId.",Yes — AccessGuard (class-level),JWT + RBAC,High,Comments are the communication channel during workflow review. Actions (APPROVE/REJECT/REQUEST_INFO) drive state transitions. Missing comments break the review process.,ecgf.guarantee_application_comment_added,Yes,Yes,"application_id, comment_action, responsible_role, commenter_id, parent_comment_id, trace_id",JWT token. Comment content may contain sensitive review notes.,Yes,ecgf_application_comment_total{action=approve|reject|request_info|reply},Yes,DB: Guarantee.ApplicationComments (create). HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No comment metrics. No audit trail metrics for review actions.,P1,Not Started,Customer-facing: Yes (reviewers).
api/guarantee-applications/:applicationId/comments,GET,GuaranteeApplicationController,getApplicationComments,ECGF / Guarantee Applications,Returns all comments for an application ordered by creation date.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Read-only comment listing for review context.,No — read-only,No,Yes,"application_id, result_count, trace_id",JWT token.,No,,Yes,DB: Guarantee.ApplicationComments. HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No gaps for its purpose.,P3,Not Started,
