Endpoint,HTTP Method,Controller,Action/Method,Domain/Feature,Description,Authentication,Authorization,Criticality,Criticality Reason,Domain Event,Audit Required,Log Required,Important Log Fields,Sensitive Data,Metrics Required,Recommended Metrics,Trace Required,Dependencies,Existing Observability,Observability Gap,Priority,Migration Status,Notes
/api,GET,AppController,getHello,Core / Health,Returns basic service info. Static response.,No,None,Low,Static info endpoint. No business logic.,No,No,No,trace_id,No,No,,No,None,None,No observability needed for static endpoint.,P3,Done,
/api/health,GET,AppController,getHealth,Core / Health,Returns health check with status and uptime.,No,None,Low,Infrastructure health check.,No,No,No,"status, uptime",No,No,,No,None,SDK ObservabilityHealthModule provides /health.,None.,P3,Done,
/api/invoices/corporates,POST,InvoiceController,createCorporate,Invoice,Creates a corporate invoice record.,No — unguarded,None,Critical,Financial document creation with no auth guard.,invoice.created,Yes,Yes,"invoiceNumber, status, entity_id",No,Yes,invoice_creation_total,Yes,Sequelize,@Span + domainEvent(invoice.created),None — properly instrumented.,P0,Done,No auth guard — security gap.
/api/invoices/all,POST,InvoiceController,fetchInvoices,Invoice,Fetches invoices for authenticated user's business filtered by TIN.,Yes — AccessGuard,AccessGuard,Medium,Read-only listing filtered by TIN.,No,No,No,"page, limit, tinNumber",Yes — TIN used as filter,No,,Yes,Sequelize,@Span(fetch-all-invoices),No domain event (read). Acceptable.,P2,Done,
/api/invoices/list,POST,InvoiceController,fetchAllInvoices,Invoice,Lists all invoices without TIN filter (admin view).,Yes — AccessGuard,AccessGuard,High,Unfiltered invoice listing — admin only.,No,No,No,"page, limit, status",No,No,,Yes,Sequelize,@Span(fetch-all-invoices-without-tin),No domain event (read). Acceptable.,P1,Done,
/api/invoices/documents/:id,GET,InvoiceController,fetchOneInvoiceDocument,Invoice,Fetches single invoice document by ID.,Yes — AccessGuard,AccessGuard,Medium,Read-only document retrieval.,No,No,No,document_id,No,No,,Yes,Sequelize,@Span(fetch-one-invoice),No domain event (read). Acceptable.,P2,Done,
/api/invoices/documents/all,POST,InvoiceController,fetchAllInvoiceDocuments,Invoice,Fetches all invoice documents with pagination.,Yes — AccessGuard,AccessGuard,Medium,Read-only listing.,No,No,No,"page, limit, invoiceId",No,No,,No,Sequelize,None,No @Span. Missing tracing.,P2,Partial,Missing @Span decorator.
/api/invoices/generate,GET,InvoiceController,generateInvoice,Invoice,Generates PDF invoice from templates. Fetches auth profiles and signatures.,Yes — BasicAuthGuard,BasicAuthGuard,Critical,Financial document generation. External API calls to auth + config services. File upload.,invoice.pdf_generated / invoice.pdf_generation_failed,Yes,Yes,"invoiceNumber, documentCount, traceId, spanId",No,Yes,"invoice_generation_total, invoice_generation_duration",Yes,"Sequelize, Auth Service, Config Service, File Server",@Span + domainEvent(invoice.pdf_generated) + domainEvent(invoice.pdf_generation_failed),Well instrumented. Failure event sets level: error.,P0,Done,Still uses custom @Trace/@Span param decorators (header-based) alongside SDK @Span.
/api/payments/submit,POST,PaymentController,submitPayment,Payment,Submits new payment. Starts workflow. Emits outbox events.,Yes — AccessGuard,AccessGuard,Critical,Core payment creation. Financial transaction. Workflow orchestration.,"payment.submitted, payment.workflow_started, payment.rejected (on error)",Yes,Yes,"paymentId, invoiceId, status, amount, paymentType",No,Yes,"payment_submission_total, payment_submission_duration",Yes,"Sequelize, Workflow Service (external API), Kafka (outbox)",@Span + domainEvent (submitted/workflow_started/rejected),Well instrumented with domain events.,P0,Done,
/api/payments/pfi/list,POST,PaymentController,getPfiPayments,Payment,Lists payments for authenticated PFI filtered by registration number.,Yes — AccessGuard,AccessGuard,High,PFI-scoped payment listing. External call to profile service.,No,No,Yes,"registrationNumber, page, limit, status",Yes — registration number from profile,No,,Yes,"Sequelize, Profile Service",@Span(get-pfi-payments),No domain event (read). Acceptable.,P1,Done,
/api/payments/:id,GET,PaymentController,getPaymentById,Payment,Gets single payment by ID with invoice details.,No — unguarded,None,High,Payment detail retrieval with no auth guard.,No,No,No,payment_id,No,No,,Yes,Sequelize,@Span(get-payment-by-id),No auth guard — security gap.,P1,Done,No AccessGuard on this endpoint.
/api/payments,POST,PaymentController,getAllPayments,Payment,Lists all payments with pagination and search.,Yes — AccessGuard,AccessGuard,Medium,Paginated payment listing with search.,No,No,No,"page, limit, search, status",No,No,,Yes,Sequelize,@Span(get-all-payments),No domain event (read). Acceptable.,P2,Done,
/api/payments/:id/confirm,POST,PaymentController,confirmPayment,Payment,Confirms payment. Transitions PENDING_REVIEW → APPROVED → RECONCILED.,No — unguarded,None,Critical,Financial approval flow. Status transitions. No auth guard.,"payment.confirmed, payment.reconciled",Yes,Yes,"paymentId, invoiceId, status, amount, confirmedAmount",No,Yes,"payment_confirmation_total, payment_confirmation_duration",Yes,Sequelize,@Span + domainEvent(confirmed/reconciled),No auth guard — security gap.,P0,Done,Missing AccessGuard.
/api/payments/:id/request-clarification,POST,PaymentController,requestClarification,Payment,Returns payment for clarification. Transitions status.,No — unguarded,None,High,Payment review action. Status transition. No auth guard.,payment.clarification_requested,Yes,Yes,"paymentId, status, reason",No,Yes,payment_clarification_total,Yes,Sequelize,@Span + domainEvent(clarification_requested),No auth guard — security gap.,P1,Done,Missing AccessGuard.
