Endpoint,HTTP Method,Controller,Action/Method,Domain/Feature,Description,Authentication,Authorization,Criticality,Criticality Reason,Domain Event,Audit Required,Log Required,Important Log Fields,Sensitive Data,Metrics Required,Recommended Metrics,Trace Required,Dependencies,Existing Observability,Observability Gap,Priority,Migration Status,Notes
api/procurement-plan/create,POST,ProcurementPlanController,create,E-Procurement / Procurement Plans,"Creates procurement plan with items. Validates budget via Configuration Service for each item's budgetCode. Checks department+fiscal year uniqueness. Calculates reservedAmountByBudgetCode (sums non-rejected items). Starts workflow per item (namespace=PROCUREMENT, entityType=PLAN_ITEM). Computes TAT dates via ProcurementTatCalculationService. Transitions plan to UNDER_REVIEW if items present. Supports file upload with PDF generation from templates.",Yes — AccessGuard (class-level),JWT + RBAC via Access Management Service,Critical,Core procurement lifecycle entry point. Budget validation ensures fiscal compliance. Per-item workflow start creates multiple parallel approval chains. TAT calculation drives procurement timeline tracking. Failure prevents new procurement plans.,PROCUREMENT_PLAN_ITEM_SUBMITTED (per item),Yes,Yes,"plan_id, department_code, fiscal_year, item_count, budget_codes[], workflow_instance_ids[], trace_id, span_id","Budget amounts, estimated costs per item.",Yes,"eproc_procurement_plan_created_total, eproc_plan_item_workflow_start_duration_seconds, eproc_budget_validation_duration_seconds",Yes,"DB: Tender.ProcurementPlans (create), Tender.ProcurementPlanItems (create/read), Tender.ProcurementDocuments (create). HTTP: Configuration Service (budget validation), Workflow Service (schema + start per item, TAT defaults), File Management Service (if files), Access Management Service (guard).",None.,"No observability at all. No metrics, no logging, no tracing on this critical endpoint.",P0,Not Started,Dual route decorator: POST /create and POST /. Multiple workflow starts in single request.
api/procurement-plan/bulk-create,POST,ProcurementPlanController,bulkCreate,E-Procurement / Procurement Plans,"Bulk creates procurement plan with items. Same logic as create but without file upload. Budget validation, workflow start per item, TAT calculation, outbox events.",Yes — AccessGuard (class-level),JWT + RBAC,Critical,Bulk plan creation — same critical business logic as create. Multiple parallel workflow starts.,PROCUREMENT_PLAN_ITEM_SUBMITTED (per item),Yes,Yes,"plan_id, item_count, budget_codes[], trace_id, span_id","Budget amounts, estimated costs.",Yes,"eproc_procurement_plan_bulk_created_total, eproc_plan_item_count_histogram",Yes,"DB: Tender.ProcurementPlans (create), Tender.ProcurementPlanItems (create/read). HTTP: Configuration Service (budget), Workflow Service (schema + start per item, TAT), Access Management Service (guard).",@Trace and @Span decorators. LoggerService.handleInfoLog (Kafka-based).,Has tracing but no custom metrics. Only endpoint in module with any observability.,P0,Not Started,Only E-Procurement endpoint with @Trace/@Span decorators.
api/procurement-plan/:planItemId/submit,POST,ProcurementPlanController,submit,E-Procurement / Procurement Plans,"Submits existing DRAFT plan item. Starts workflow (PROCUREMENT, PLAN_ITEM). Transitions to UNDER_REVIEW.",Yes — AccessGuard (class-level),JWT + RBAC,High,State transition from DRAFT to UNDER_REVIEW. Workflow start failure leaves item in limbo.,PROCUREMENT_PLAN_ITEM_SUBMITTED,Yes,Yes,"plan_item_id, workflow_instance_id, trace_id",None.,Yes,"eproc_plan_item_submitted_total, eproc_workflow_start_duration_seconds{entity_type=PLAN_ITEM}",Yes,"DB: Tender.ProcurementPlanItems (read, update), Tender.ProcurementPlans (read). HTTP: Workflow Service (schema + start), Access Management Service (guard).",None.,No observability. Critical state transition with no tracking.,P1,Not Started,
api/procurement-plan/all,POST,ProcurementPlanController,findAll,E-Procurement / Procurement Plans,"Paginated list of all procurement plans with filters (search, status, departmentCode, fiscalYear).",Yes — AccessGuard (class-level),JWT + RBAC,Medium,Admin listing. Read-only.,No — read-only listing,No,Yes,"page, limit, filters, result_count, trace_id",None.,No,,Yes,DB: Tender.ProcurementPlans (findAndCountAll). HTTP: Access Management Service (guard).,None.,No observability.,P2,Not Started,
api/procurement-plan/:id,GET,ProcurementPlanController,findOne,E-Procurement / Procurement Plans,Returns single procurement plan with items and documents.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Detail view. Read-only.,No — read-only,No,Yes,"plan_id, trace_id",None.,No,,Yes,"DB: Tender.ProcurementPlans with ProcurementPlanItems, ProcurementDocuments. HTTP: Access Management Service (guard).",None.,No observability.,P3,Not Started,
api/procurement-plan/:planId/items,POST,ProcurementPlanController,addPlanItem,E-Procurement / Procurement Plans,"Adds single plan item to existing plan. Validates plan is ACTIVE/UNDER_REVIEW. Budget validation, reserved amount calculation, workflow start, TAT computation. Supports file upload.",Yes — AccessGuard (class-level),JWT + RBAC,High,Adding items to active plan. Budget validation and workflow start are critical. File upload adds external dependency.,PROCUREMENT_PLAN_ITEM_SUBMITTED,No,Yes,"plan_id, plan_item_id, budget_code, estimated_cost, workflow_instance_id, trace_id",Budget amounts.,Yes,"eproc_plan_item_added_total, eproc_budget_validation_duration_seconds",Yes,"DB: Tender.ProcurementPlans (read), Tender.ProcurementPlanItems (create, read), Tender.ProcurementDocuments (create if files). HTTP: Configuration Service (budget), Workflow Service (schema + start, TAT), File Management Service (if files), Access Management Service (guard).",None.,No observability.,P1,Not Started,
api/procurement-plan/items,POST,ProcurementPlanController,getPlanItems,E-Procurement / Procurement Plans,Paginated plan items with filters.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Plan items listing. Read-only.,No — read-only,No,Yes,"page, limit, filters, trace_id",None.,No,,No,DB: Tender.ProcurementPlanItems (findAndCountAll). HTTP: Access Management Service (guard).,None.,No observability.,P3,Not Started,
api/procurement-plan/items/department,POST,ProcurementPlanController,getDepartmentPlanItems,E-Procurement / Procurement Plans,Plan items filtered by user's department. Resolves department codes via Auth Service.,Yes — AccessGuard (class-level),JWT + RBAC + department filtering,Medium,Department-scoped listing. Auth Service dependency.,No — read-only,No,Yes,"department_codes, result_count, trace_id",None.,No,,Yes,"DB: Tender.ProcurementPlanItems, Tender.ProcurementPlans (join). HTTP: Auth Service (getUserDepartments), Access Management Service (guard).",None.,No observability. Auth Service dependency invisible.,P2,Not Started,
api/procurement-plan/plans,POST,ProcurementPlanController,getPlansWithItems,E-Procurement / Procurement Plans,Retrieves multiple plans with items filtered by status.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Multi-plan view. Read-only.,No — read-only,No,Yes,"plan_ids, status_filter, trace_id",None.,No,,No,"DB: Tender.ProcurementPlans, Tender.ProcurementPlanItems. HTTP: Access Management Service (guard).",None.,No observability.,P3,Not Started,
api/procurement-plan/budget-reserved-amount,POST,ProcurementPlanController,getBudgetReservedAmount,E-Procurement / Procurement Plans,Calculates reserved amount by budget code summing non-rejected plan items.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Budget tracking utility. Financial calculation.,No — read-only aggregation,No,Yes,"budget_code, reserved_amount, trace_id",Budget reservation amounts.,No,,Yes,DB: Tender.ProcurementPlanItems (SUM with where). HTTP: Access Management Service (guard).,None.,No observability.,P2,Not Started,
