Endpoint,HTTP Method,Controller,Action/Method,Domain/Feature,Description,Authentication,Authorization,Criticality,Criticality Reason,Domain Event,Audit Required,Log Required,Important Log Fields,Sensitive Data,Metrics Required,Recommended Metrics,Trace Required,Dependencies,Existing Observability,Observability Gap,Priority,Migration Status,Notes
/api,GET,AppController,getHello,Core / Health,Returns basic service info.,Cookie/Header (TokenMiddleware),Downstream (None),Low,Static info endpoint.,No,No,Yes,"trace_id, x-span-id, request_id",No,Yes,"request_duration, status_code, downstream_latency",Yes,None,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P3,Not Started,
/api/health,GET,AppController,getHealth,Core / Health,Health check with status and uptime.,Cookie/Header (TokenMiddleware),Downstream (None),Low,Infrastructure health check.,No,No,Yes,"trace_id, x-span-id, request_id",No,Yes,"request_duration, status_code, downstream_latency",Yes,None,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P3,Not Started,
/api/users/create,POST,UsersController,createUser,Authentication & Access,User registration.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),Critical,Core auth — new user creation.,No,Yes,Yes,"trace_id, x-span-id, request_id",Yes — PII,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P0,Not Started,
/api/users/confirm-email/:token,GET,UsersController,confirmEmail,Authentication & Access,Email confirmation via token URL.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),High,Email verification step.,No,Yes,Yes,"trace_id, x-span-id, request_id",Yes — token in URL,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P1,Not Started,
/api/users/login,POST,UsersController,login,Authentication & Access,User authentication. Forwards Set-Cookie.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),Critical,Primary auth entry point.,No,Yes,Yes,"trace_id, x-span-id, request_id",Yes — credentials,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P0,Not Started,Forwards Set-Cookie
/api/users/resend-otp,POST,UsersController,resendOtp,Authentication & Access,Resend OTP for verification.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),High,OTP delivery.,No,Yes,Yes,"trace_id, x-span-id, request_id",No,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P1,Not Started,
/api/users/validate-otp,POST,UsersController,validateOtp,Authentication & Access,Validate OTP. Forwards Set-Cookie.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),Critical,OTP verification for 2FA.,No,Yes,Yes,"trace_id, x-span-id, request_id",Yes — OTP,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P0,Not Started,Forwards Set-Cookie
/api/users/forgot-password,POST,UsersController,forgotPassword,Authentication & Access,Initiates password reset flow.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),High,Password reset initiation.,No,Yes,Yes,"trace_id, x-span-id, request_id",No,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P1,Not Started,
/api/users/forgot-password-giriwawe,POST,UsersController,forgotPasswordGiriwawe,Authentication & Access,Giriwawe platform password reset.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),Medium,Platform-specific reset.,No,No,Yes,"trace_id, x-span-id, request_id",No,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P2,Not Started,
/api/users/find-user-by-reset-token/:resetToken,GET,UsersController,findUserByResetToken,Authentication & Access,Lookup user by password reset token.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),Medium,Reset token validation.,No,No,Yes,"trace_id, x-span-id, request_id",Yes — token in URL,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P2,Not Started,
/api/users/reset-password/:token,PATCH,UsersController,resetPassword,Authentication & Access,Reset password using token.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),Critical,Password change — security critical.,No,Yes,Yes,"trace_id, x-span-id, request_id",Yes — token in URL,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P0,Not Started,
/api/users/get-user-nid,POST,UsersController,getUserNidData,Authentication & Access,Fetch national ID data from NIDA.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),High,Government ID lookup.,No,Yes,Yes,"trace_id, x-span-id, request_id",Yes — NID data,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P1,Not Started,
/api/users/verify-phone-or-email,POST,UsersController,verifyPhoneOrEmail,Authentication & Access,Verify phone number or email.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),Medium,Contact verification.,No,No,Yes,"trace_id, x-span-id, request_id",Yes — PII,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P2,Not Started,
/api/users/validate-tin,POST,UsersController,validateTinNumber,Authentication & Access,Validate TIN number.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),High,Tax ID validation.,No,Yes,Yes,"trace_id, x-span-id, request_id",Yes — TIN,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P1,Not Started,
/api/users/me,GET,UsersController,getMe,Authentication & Access,Get current authenticated user profile.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),Medium,Self-profile lookup.,No,No,Yes,"trace_id, x-span-id, request_id",Yes — user data,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P2,Not Started,
/api/users/switch-role,POST,UsersController,switchRole,Authentication & Access,Switch active user role. Forwards Set-Cookie.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),High,Role context change.,No,Yes,Yes,"trace_id, x-span-id, request_id",No,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P1,Not Started,Forwards Set-Cookie
/api/users/logout,POST,UsersController,logout,Authentication & Access,User logout. Forwards Set-Cookie.,Cookie/Header (TokenMiddleware),Downstream (USER_SERVICE_URL),Medium,Session termination.,No,No,Yes,"trace_id, x-span-id, request_id",No,Yes,"request_duration, status_code, downstream_latency",Yes,USER_SERVICE_URL,Morgan HTTP logging + Winston file logs + custom x-trace-id/x-span-id headers,No SDK. No OTEL propagation. No structured logging. No domain events. No metrics.,P2,Not Started,Forwards Set-Cookie
