Endpoint,HTTP Method,Controller,Action/Method,Domain/Feature,Description,Authentication,Authorization,Criticality,Criticality Reason,Domain Event,Audit Required,Log Required,Important Log Fields,Sensitive Data,Metrics Required,Recommended Metrics,Trace Required,Dependencies,Existing Observability,Observability Gap,Priority,Migration Status,Notes
api/,GET,AppController,getHello,Core / Health,Returns basic service greeting. Uses LoggerService to log access.,No — publicly accessible,None,Low,Static greeting endpoint. No business logic.,No,No,No,trace_id,No,No,,No,None.,LoggerService.handleInfoLog called.,Has basic logging. No metrics needed for static endpoint.,P3,Not Started,Redundant with /health.
api/health,GET,AppController,getHealth,Core / Health,"Returns health check with status, timestamp, uptime. Used by load balancers and monitoring.",No — publicly accessible,None,Low,Infrastructure health check. Read-only.,No,No,No,"status, uptime",No,No,,No,None.,None.,Standard health endpoint. No custom observability needed.,P3,Not Started,
api/invoices/generate,GET,InvoiceController,generateInvoice,Invoice / Generation,Triggers invoice generation via Payment Service. HTTP endpoint that delegates to InvoiceService.generateInvoice(). Same logic as the cron job but triggered manually.,No — publicly accessible,None,High,Manual trigger for invoice generation. Calls Payment Service with Basic Auth. Financial operation.,Yes — invoice.generation_triggered,Yes,Yes,"payment_service_url, response_status, invoice_count, duration_ms, trace_id",Yes — Basic Auth credentials sent to Payment Service.,Yes,"uno_invoice_manual_trigger_total{status=success|failure}, uno_invoice_generation_duration_seconds",Yes,External: Payment Service (GET /api/invoices/generate with Basic Auth). Uses AxiosService.,"Logger (NestJS built-in). Logs start, success, error details (status, headers, body).",Has basic logging but no metrics. No request tracking. No auth — public endpoint triggering financial operation.,P1,Not Started,SECURITY: No auth on manual invoice trigger. Shares logic with cron job. Basic Auth credentials in env vars.
Cron: SEND_LOAN_REQUEST_CRON (default EVERY_30_MINUTES),Cron,ExternalIntegrationService,sendApplicationsToMinecofin,Loan Integration / Submission,"Sends pending loan applications to Minecofin/RIM banks. Fetches applications with status=Pending, isSentToBank=false, membershipStatus=ACTIVE, accountNumber not null. Authenticates with Access Control Service. Routes to MinecofinLoanGateway or RimLoanGateway based on bankClassification. On success marks isSentToBank=true, integrationStatus=SUBMITTED. On 'EXIST' error creates CON_ERR status record.",N/A — internal scheduled job,N/A,Critical,"Core loan submission pipeline. Sends loan requests to external banking systems (Minecofin SACCOs, RIM). Failure means loans stuck in pending state. Financial transactions at stake.",Yes — loan.submission_sent / loan.submission_failed,Yes,Yes,"applications_count, applications_sent, applications_failed, bank_classification, job_duration_ms, trace_id","Yes — loan amounts, account numbers, bank codes sent to external systems.",Yes,"uno_loan_submission_total{bank=sacco|rim,status=success|failure|exist_error}, uno_loan_submission_batch_size, uno_loan_submission_duration_seconds, uno_access_control_auth_total{status=success|failure}",Yes,"DB: Application.findAll(status=Pending, isSentToBank=false), Application.update(isSentToBank, integrationStatus, externalId), ApplicationBankStatus.create(). External: Access Control Service (login for token), Minecofin API (via MinecofinLoanGateway), RIM API (via RimLoanGateway). Redis: Token caching (5min TTL).","Logger (NestJS built-in). Logs application count, per-application send, errors. console.log for response data.",Has basic logging but uses console.log. No metrics. No per-bank breakdown. No submission latency tracking. No access control auth failure alerting. Promise.all without error isolation — one failure doesn't stop others but errors may be swallowed.,P0,Not Started,CRITICAL: Financial loan submissions. Promise.all may swallow individual errors. Uses console.log instead of structured logging. Cron configurable via env var.
Cron: GET_LOAN_STATUS_CRON (default EVERY_30_MINUTES),Cron,ExternalIntegrationService,saccoLoanStatus,Loan Integration / Status Polling,"Polls SACCO loan status from Minecofin via Access Control Service. Processes bank-by-bank using StatusJobs to track progress. Matches API status data to pending applications by referenceNumber. Updates ApplicationBankStatus and Application records. On DISBURSED: sets status=Approved, updates BankInfo balance/disbursedAmount. On REJECTED: sets status=Rejected. Uses Sequelize transactions.",N/A — internal scheduled job,N/A,Critical,Loan lifecycle tracking. Status transitions (SUBMITTED→DISBURSED/REJECTED) drive business outcomes. Balance updates on disbursement affect financial accounting. Transaction integrity critical.,Yes — loan.status_updated / loan.disbursed / loan.rejected,Yes,Yes,"pending_applications_count, status_records_received, statuses_processed, disbursements_count, rejections_count, bank_code, job_duration_ms, trace_id","Yes — loan amounts, account balances, disbursement amounts.",Yes,"uno_loan_status_poll_total{bank_code,status=success|failure}, uno_loan_status_transition_total{from,to}, uno_loan_disbursement_total, uno_loan_rejection_total, uno_loan_status_poll_duration_seconds, uno_bank_balance_gauge{bank_code}",Yes,"DB: BankInfo.findAll(), StatusJobs.findOne/create(), Application.findAll(status=Pending), ApplicationBankStatus.create(), Application.update(), BankInfo.update(balance, disbursedAmount) in transaction. External: Access Control Service (login + loan-status API).","Logger (NestJS built-in). Logs start, application count, per-application processing, DISBURSED/REJECTED transitions. console.log for job data.",Has decent logging but uses console.log. No metrics for status transitions. No balance change tracking. No disbursement amount tracking. StatusJobs provides basic job tracking but no alerting.,P0,Not Started,CRITICAL: Financial status transitions. BankInfo.balance updated with sequelize.literal (SQL injection risk if principalAmount not sanitized). StatusJobs table tracks job execution but no monitoring on it.
Cron: GET_LOAN_STATUS_CRON_RIM (default EVERY_30_MINUTES),Cron,ExternalIntegrationService,rimLoanStatus,Loan Integration / Status Polling,"Polls RIM bank loan status. Fetches pending RIM applications. Gets status per-application from Access Control Service RIM endpoint. Maps stages (UNDER_REVIEW, REJECTED, APPROVED, DISBURSED). Deduplicates status entries. Updates ApplicationBankStatus and Application via updateStatusData().",N/A — internal scheduled job,N/A,Critical,RIM bank loan lifecycle tracking. Same criticality as SACCO polling. Status transitions drive business outcomes.,Yes — loan.rim_status_updated,Yes,Yes,"pending_applications_count, statuses_processed, duplicates_skipped, bank=rim, job_duration_ms, trace_id","Yes — loan amounts, external IDs.",Yes,"uno_rim_loan_status_poll_total{status=success|failure}, uno_rim_status_transition_total{from,to}, uno_rim_duplicates_skipped_total",Yes,"DB: Application.findAll(status=Pending, bankClassification=RIM), ApplicationBankStatus.findOne (dedup check), ApplicationBankStatus.create(), Application.update(). External: Access Control Service (login + RIM loan-status API).","Logger (NestJS built-in). Logs application count, no-data cases, per-application processing, duplicate detection.",Has basic logging. No metrics. No status transition tracking. Per-application API calls — could be slow with many pending.,P0,Not Started,Per-application API call (no batch). Could be slow with many pending applications. Deduplication logic prevents duplicate status entries.
Cron: MISSED_STATUS_CRON (default EVERY_DAY_AT_MIDNIGHT),Cron,ExternalIntegrationService,checkSaccoMissed,Loan Integration / Reconciliation,"Daily reconciliation for missed SACCO loan statuses. Groups pending applications by bankCode. Calls Minecofin status API per bank. Identifies applications without status (missed). Retries sending missed applications (max retries from MISSED_RETRY_COUNT env, default 3). Auto-rejects applications exceeding retry limit. Handles 'EXIST' error cases. For applications with status, processes via transaction (same as saccoLoanStatus). Sleeps 5s between bank codes.",N/A — internal scheduled job,N/A,Critical,Financial reconciliation. Catches loans that fell through cracks. Auto-rejection after max retries is business decision. Wrong reconciliation = wrong financial state.,Yes — loan.reconciliation_completed / loan.auto_rejected,Yes,Yes,"pending_count, missed_count, retried_count, auto_rejected_count, resolved_count, bank_code, job_duration_ms, trace_id","Yes — loan amounts, account numbers, bank data.",Yes,"uno_reconciliation_total{bank_code,outcome=retried|auto_rejected|resolved|exist_error}, uno_reconciliation_missed_total{bank_code}, uno_reconciliation_duration_seconds, uno_auto_rejection_total",Yes,"DB: Application.findAll(status=Pending, SACCO), ApplicationBankStatus.findAll/create(), Application.update(), BankInfo.findOne/update(). External: Access Control Service (login + loan-status + loan-request APIs). Redis: Token caching.","Logger (NestJS built-in). Logs missed applications with IDs, retry attempts, reconciliation steps. console.log for errors and debug.",Has decent logging but uses console.log. No reconciliation metrics. No auto-rejection alerting. No retry count tracking. sleep(5000) between banks is unmonitored.,P0,Not Started,CRITICAL: Auto-rejects loans after max retries. console.log in catch blocks. sleep(5000) between bank codes. .then/.catch pattern mixed with async/await.
Cron: GUARANTEE_FRAMEWORK_CRON (default '45 * * * *'),Cron,GuaranteeFrameworkService,generateGuaranteeFramework,Guarantee / Document Generation,Triggers GFA (Guarantee Framework Agreement) generation via Application Service. Calls GET /api/guarantee/generate/agreement on application-service. Runs hourly (minute 45). Uses AxiosService with origin header.,N/A — internal scheduled job (delegates auth to application-service),N/A,High,GFA document generation trigger. Legal document. Failure means pending GFAs not generated.,Yes — guarantee.gfa_generation_triggered,No,Yes,"application_service_url, response_status, gfa_count, duration_ms, trace_id",No — delegates to application-service.,Yes,"uno_gfa_generation_total{status=success|failure}, uno_gfa_generation_duration_seconds",Yes,External: Application Service (GET /api/guarantee/generate/agreement). Uses AxiosService.,"Logger (NestJS built-in). Logs start, URL, success, error details (status, headers, response body truncated to 500 chars). console.error for errors.",Has good error logging but no metrics. No generation count tracking. No alerting on failure.,P1,Not Started,Delegates to application-service. console.error mixed with logger. Error logging includes response headers (potential info leak in logs).
Cron: LETTER_OF_GUARANTEE_CRON (default '45 * * * *'),Cron,GuaranteeFrameworkService,generateLetterOfGuarantee,Guarantee / Document Generation,Triggers LoG (Letter of Guarantee) generation via Application Service. Calls GET /api/guarantee/generate/letter-of-guarantee on application-service. Runs hourly (minute 45). Same pattern as GFA generation.,N/A — internal scheduled job,N/A,High,LoG document generation trigger. Legal document for PFIs. Failure means pending LoGs not issued.,Yes — guarantee.log_generation_triggered,No,Yes,"application_service_url, response_status, log_count, duration_ms, trace_id",No — delegates to application-service.,Yes,"uno_log_generation_total{status=success|failure}, uno_log_generation_duration_seconds",Yes,External: Application Service (GET /api/guarantee/generate/letter-of-guarantee). Uses AxiosService.,"Logger (NestJS built-in). Logs start, URL, success, error details. console.error for errors.",Has good error logging but no metrics. Same gap as GFA.,P1,Not Started,Same cron schedule as GFA — both run at minute 45. May cause load spike on application-service.
Cron: GUARANTEE_INVOICE_CRON (default '45 * * * *'),Cron,GuaranteeFrameworkService,generateLetterOfGuaranteeInvoice,Guarantee / Invoice Generation,Triggers guarantee invoice generation via Application Service. Calls GET /api/guarantee/generate/generate-invoice. Runs hourly (minute 45). Resolves pending guarantee invoices.,N/A — internal scheduled job,N/A,High,Financial invoice generation. Revenue collection depends on invoice issuance.,Yes — guarantee.invoice_generation_triggered,No,Yes,"application_service_url, response_status, invoice_count, duration_ms, trace_id",No — delegates to application-service.,Yes,"uno_guarantee_invoice_total{status=success|failure}, uno_guarantee_invoice_duration_seconds",Yes,External: Application Service (GET /api/guarantee/generate/generate-invoice). Uses AxiosService.,"Logger (NestJS built-in). Logs start, URL, success, error details. console.error for errors.",Has good error logging but no metrics.,P1,Not Started,Third cron at minute 45. All three guarantee crons run simultaneously — potential application-service overload.
