Endpoint,HTTP Method,Controller,Action/Method,Domain/Feature,Description,Authentication,Authorization,Criticality,Criticality Reason,Domain Event,Audit Required,Log Required,Important Log Fields,Sensitive Data,Metrics Required,Recommended Metrics,Trace Required,Dependencies,Existing Observability,Observability Gap,Priority,Migration Status,Notes
api/,GET,AppController,getHello,Core / Health,Returns basic service greeting/status. Static response via AppService.getHello(). Root API endpoint.,No — publicly accessible,None,Low,Static greeting endpoint. No business logic or data access.,No,No,No,trace_id,No,No,,No,None.,LoggerService injected but unused in this method.,No observability needed for static endpoint.,P3,Not Started,Redundant with /health. Consider consolidating.
api/health,GET,AppController,getHealth,Core / Health,"Returns health check with status, timestamp, and uptime. Used by load balancers and monitoring.",No — publicly accessible,None,Low,Infrastructure health check. Read-only. No business logic.,No,No,No,"status, uptime",No,No,,No,None.,None — but ObservabilityHealthModule also registered in app.module (may provide /health already).,SDK ObservabilityHealthModule likely provides equivalent. Check for duplication.,P3,Not Started,ObservabilityHealthModule also imported — may conflict or duplicate. Verify which /health route wins.
api/users/create,POST,UsersController,create,Authentication / Registration,"Creates new user account. Validates CreateUserDto (email, phone, national ID, TIN). Generates account token. Sends email + SMS notifications. Creates user in DB with hashed password. Handles SequelizeConnectionAcquireTimeoutError.",No — public registration,None,Critical,User onboarding entry point. Creates identity records. Sends credentials via email/SMS. Financial platform — account creation is compliance-sensitive.,Yes — user.created,Yes,Yes,"user_id, email, phone, national_id, tin_number, account_type, trace_id, span_id","Yes — email, phone, national ID, TIN, password (hashed).",Yes,"auth_user_registration_total{status=success|failure}, auth_user_registration_duration_seconds",Yes,"DB: User.create() in transaction. External: Notification Service (email + SMS), NIDA API (NID validation), RRA API (TIN validation).",Trace/Span decorators injected. Basic try/catch error handling.,No domain event logging. No registration metrics. No notification delivery tracking. No rate limiting metrics.,P0,Not Started,Uses @Trace() and @Span() decorators. Handles DB timeout errors. Sends notifications outside transaction.
api/users/confirm-email/:token,GET,UsersController,confirmEmail,Authentication / Registration,Confirms user email via token parameter. Validates token and marks email as confirmed in DB.,No — token-based (link from email),None,High,Email verification step in registration flow. Prevents fake accounts.,Yes — user.email_confirmed,Yes,Yes,"token (redacted), user_id, trace_id",Yes — token in URL path (risk of logging sensitive token).,Yes,auth_email_confirmation_total{status=success|failure|expired},Yes,DB: User.update() to mark confirmed.,None.,No logging at all. No metrics. Token in URL could be logged by reverse proxies.,P1,Not Started,SECURITY: Token in URL path — may be logged by proxies/CDN. Consider POST with token in body.
api/users/login,POST,UsersController,login,Authentication / Login,"Authenticates user. Routes to Active Directory login if username contains @brd.rw, otherwise standard DB login. Reads origin, x-device-header, device from headers. Returns JWT tokens. Dual auth path (AD + standard).",No — login endpoint,None,Critical,Primary authentication endpoint. Issues JWT tokens. Dual auth (AD + standard). Failed login tracking critical for security monitoring. Gateway to entire platform.,Yes — auth.login_succeeded / auth.login_failed,Yes,Yes,"username (hashed), auth_method, client_app, failure_reason, device_info, origin, trace_id","Yes — username, password in request body. Device fingerprint.",Yes,"auth_login_total{method=standard|active_directory,status=success|failure}, auth_login_duration_seconds{method}, auth_login_failure_reason_total{reason}",Yes,DB: User lookup + password verify. External: Active Directory (LDAP bind + search) for @brd.rw users. JWT signing.,ObservabilityLogger with domainEvent() for login success/failure. logCaughtError() for error logging.,"Has domain events — best instrumented endpoint. Missing: login latency metrics, per-method breakdown metrics, brute force detection counters.",P0,Partial,"BEST INSTRUMENTED: Uses domainEvent('auth.login_succeeded') and domainEvent('auth.login_failed'). Has failure_reason tracking. Dual auth path (AD via LDAP, standard via DB)."
api/users/resend-otp,POST,UsersController,resendOtp,Authentication / OTP,Resends OTP to user. Takes accountHash in body. Generates new OTP and sends via email + SMS using resendOtpMessage helper.,No — uses accountHash,None,High,OTP delivery is critical for 2FA flow. Abuse can lead to SMS bombing (cost + UX). Must track rate.,No,Yes,Yes,"account_hash (redacted), otp_channel, delivery_status, trace_id","Yes — OTP value, phone number, email address.",Yes,"auth_otp_resend_total{channel=email|sms,status=success|failure}, auth_otp_resend_rate{user}",Yes,DB: User lookup by accountHash. External: Notification Service (email + SMS).,None.,No logging. No rate tracking. No notification delivery confirmation. Potential SMS bombing vector.,P0,Not Started,SECURITY: No rate limiting metrics. SMS bombing risk. Should track resend frequency per user.
api/users/validate-otp,POST,UsersController,validateOtp,Authentication / OTP,"Validates OTP for user. Differentiates staff vs regular users by accountHash. Staff: generates access + refresh tokens via StaffUserService. Regular: validates via UsersService. Reads x-device-header, origin, device headers.",No — OTP-based,None,Critical,OTP validation gates access to platform. Issues tokens on success. Staff/regular user bifurcation. Failed validation = potential brute force.,Yes — auth.otp_validated,Yes,Yes,"account_hash (redacted), user_type (staff|regular), validation_result, device_info, trace_id",Yes — OTP in request body.,Yes,"auth_otp_validation_total{user_type=staff|regular,status=success|failure}, auth_otp_brute_force_attempts{user}",Yes,DB: StaffUser/User lookup. JWT token generation (access + refresh).,None.,No logging. No validation tracking. No brute force detection. Staff/regular path not differentiated in observability.,P0,Not Started,SECURITY: No brute force detection on OTP attempts. Staff path uses separate token generation.
api/users/forgot-password,POST,UsersController,forgotPassword,Authentication / Password,Initiates password reset flow. Takes username (email/phone). Generates reset token. Sends reset link via email + SMS.,No — public endpoint,None,High,Password reset entry. User enumeration risk if response differs for existing vs non-existing users.,Yes — auth.password_reset_requested,Yes,Yes,"username (hashed), reset_channel, trace_id",Yes — username reveals account existence.,Yes,auth_password_reset_request_total{status=success|failure},Yes,DB: User lookup. External: Notification Service (email + SMS).,None.,No logging. No metrics. Cannot detect password reset abuse patterns.,P1,Not Started,SECURITY: Potential user enumeration. Should return same response regardless of account existence.
api/users/forgot-password-giriwawe,POST,UsersController,forgotPasswordGiriwawe,Authentication / Password,Password reset flow for Giriwawe platform. Takes email or phone via ForgotPasswordGiriwaweDto. Separate flow from standard forgot-password.,No — public endpoint,None,High,Giriwawe-specific password reset. Separate flow suggests different notification templates or validation.,Yes — auth.password_reset_giriwawe_requested,No,Yes,"email_or_phone (hashed), trace_id",Yes — email/phone number.,Yes,auth_password_reset_giriwawe_total{status=success|failure},Yes,DB: User lookup. External: Notification Service. Gateway (Giriwawe-specific).,None.,No logging. No metrics.,P2,Not Started,Separate Giriwawe flow — uses GATEWAY_URL_GIRIWAWE. req passed to service.
api/users/find-user-by-reset-token/:resetToken,GET,UsersController,findUserByResetToken,Authentication / Password,Finds user by password reset token. Used by frontend to validate token before showing reset form.,No — token-based,None,Medium,Token validation step. Leaks user existence if response differs for valid vs invalid tokens.,No,No,Yes,"token_valid, trace_id",Yes — reset token in URL path.,No,,No,DB: User lookup by reset token.,None.,No logging. Token in URL path could be logged.,P2,Not Started,SECURITY: Token in URL. Consider POST method. Time-limited tokens reduce risk.
