Endpoint,HTTP Method,Controller,Action/Method,Domain/Feature,Description,Authentication,Authorization,Criticality,Criticality Reason,Domain Event,Audit Required,Log Required,Important Log Fields,Sensitive Data,Metrics Required,Recommended Metrics,Trace Required,Dependencies,Existing Observability,Observability Gap,Priority,Migration Status,Notes
/,GET,AppController,getHello,Core / Health,Returns basic service info. Static response.,No — publicly accessible,None,Low,Static info endpoint. No business logic.,No,No,No,trace_id,No,No,,No,None,None,No observability needed for static endpoint.,P3,Done,
/health,GET,AppController,getHealth,Core / Health,Returns health check with status and uptime. Used by load balancers.,No — publicly accessible,None,Low,Infrastructure health check. Read-only.,No,No,No,"status, uptime",No,No,,No,None,SDK ObservabilityHealthModule provides /health.,None.,P3,Done,
programs/search,POST,ProgramsController,listPrograms,Programs / Read,"Lists programs with pagination, search, and filters.",Yes — AccessGuard,Role-based,Medium,Read-only list. High traffic but no state change.,"Yes — program.retrieved (debug), program.retrieval_failed",No,Yes,"operation, result_count, trace_id",No,Yes,"mel_program_list_total{status=success|failure}, mel_program_list_duration_seconds",No,"DB: Program.findAndCountAll()",Domain events via logDomainEvent at debug level.,None — well instrumented.,P2,Done,Reads logged at debug per BRD standard.
programs/search/my-approvals,POST,ProgramsController,listProgramsForLoggedInApprover,Programs / Read,"Lists programs assigned to the logged-in approver with filters.",Yes — AccessGuard,Role-based,Medium,Read-only. Scoped to approver's assignments.,"Yes — program.retrieved (debug), program.retrieval_failed",No,Yes,"operation=list_my_approvals, result_count, trace_id",No,Yes,mel_program_list_total{status=success|failure},No,"DB: Program.findAndCountAll() with user filter",Domain events via logDomainEvent at debug level.,None — well instrumented.,P2,Done,
programs/:id/report-form,POST,ProgramsController,getReportForm,Programs / Reports,"Retrieves industry-filtered report form linked to a program.",Yes — AccessGuard,Role-based,Medium,Read-only. Needed before report submission.,"Yes — program.retrieved (debug), program.retrieval_failed",No,Yes,"program_id, industry_category, business_id, trace_id",No,No,,No,"DB: Program.findOne() with template headers",Domain events via logDomainEvent at debug level.,None — well instrumented.,P2,Done,
programs/:id/report-draft,GET,ProgramsController,getReportDraft,Programs / Drafts,Retrieves the current user's report draft for a program.,Yes — AccessGuard,Role-based,Low,Read-only draft retrieval. User-scoped.,"Yes — report.retrieved (debug), report.retrieval_failed",No,Yes,"program_id, found, trace_id",No,No,,No,"DB: UserDraft.findOne()",Domain events via logDomainEvent at debug level.,None.,P3,Done,
programs/:id/report-draft,PUT,ProgramsController,saveReportDraft,Programs / Drafts,"Saves the current user's report draft with optional file uploads.",Yes — AccessGuard,Role-based,Medium,State change: persists draft. File uploads involved.,"Yes — report.draft_saved, report.draft_save_failed",No,Yes,"program_id, file_count, trace_id",No,Yes,"mel_report_draft_saved_total, mel_report_draft_save_duration_seconds",Yes,"DB: UserDraft.upsert(), File Management Service",Domain events via logDomainEvent/logDomainFailure.,None — well instrumented.,P2,Done,File upload count tracked via countFiles().
programs/:id/report-draft,DELETE,ProgramsController,deleteReportDraft,Programs / Drafts,Deletes the current user's report draft for a program.,Yes — AccessGuard,Role-based,Medium,Destructive: removes draft data.,"Yes — report.draft_deleted, report.draft_deletion_failed",Yes,Yes,"program_id, trace_id",No,Yes,mel_report_draft_deleted_total,No,"DB: UserDraft.destroy()",Domain events via logDomainEvent/logDomainFailure.,None.,P2,Done,
programs/draft,GET,ProgramsController,getCurrentUserProgramDraft,Programs / Drafts,Retrieves the current user's program creation draft.,Yes — AccessGuard,Role-based,Low,Read-only draft retrieval. User-scoped.,"Yes — program.retrieved (debug), program.retrieval_failed",No,Yes,"operation=get_draft, found, trace_id",No,No,,No,"DB: UserDraft.findOne()",Domain events via logDomainEvent at debug level.,None.,P3,Done,
programs/draft,PUT,ProgramsController,saveCurrentUserProgramDraft,Programs / Drafts,Saves the current user's program creation draft.,Yes — AccessGuard,Role-based,Medium,State change: persists program draft.,"Yes — program.draft_saved, program.draft_save_failed",No,Yes,"draft_id, trace_id",No,Yes,mel_program_draft_saved_total,No,"DB: UserDraft.upsert()",Domain events via logDomainEvent/logDomainFailure.,None.,P2,Done,
